movieId,tag
1955,dentist
7478,Cambodia
32892,Russian
34162,forgettable
35957,short
37729,dull story
45950,powerpoint
100365,activist
100365,documentary
100365,uganda
150,Ron Howard
2174,music
2174,weird
8623,Steve Martin
107999,action
107999,anime
107999,kung fu
111624,drama
111624,indie
111624,love
130682,b movie
130682,comedt
130682,horror
2968,Gilliam
4911,Gilliam
5909,Takashi Miike
47465,Gilliam
296,intense
296,r:violence
296,tarantino
4388,parody
1131,emotional
1131,tragedy
64957,original plot
74458,Predictable
48711,CHRISTIAN
4189,jesus
4612,jesus
6683,bollywood
6986,jesus
27255,No progress
27255,Too slow
27255,Views
260,cult classic
260,Science Fiction
1258,cult film
1258,jack nicholson
1258,psychological
1258,Stanley Kubrick
1704,genius
1704,intellectual
1704,mathematics
1704,psychology
4226,Mindfuck
4226,nonlinear
4226,psychology
4226,twist ending
4995,genius
4995,intelligent
4995,math
4995,mathematics
4995,twist ending
48780,complicated
48780,Hugh Jackman
48780,nonlinear
48780,psychological
48780,twist ending
79132,intellectual
79132,mindfuck
79132,philosophy
79132,sci-fi
79132,twist ending
109487,good science
109487,physics
109487,relativity
109487,sci-fi
109487,sentimental
109487,space
109487,time travel
109487,time-travel
121231,eerie
121231,friendship
121231,teenagers
52319,World War II
608,Quirky
5445,Tom Cruise
7458,Brad Pitt
8972,Nicolas Cage
69640,Johnny Depp
104841,sexist
260,nerdy
260,Science Fiction
2082,Emilio Estevez
260,Science Fiction
1061,emotional
1061,revenge
1061,true story
1732,cult film
1732,dark comedy
1732,satirical
2359,British
2641,childish plot
2641,superhero
3257,Kevin Costner
3257,snorefest
3275,vigilantism
3300,anti-hero
3300,Cole Hauser
3300,Vin Diesel
3301,Amanda Peet
3301,Matthew Perry
3809,Bill Murray
3809,quirky
3882,cheerleading
3882,Eliza Dushku
3882,Overrated
7373,steampunk
7373,superhero
8861,Oded Fehr
8861,Sienna Guillory
8861,zombies
8928,Beautiful Woman
8928,campy
8928,irreverent
8928,quirky
8928,Roman Polanski
27904,good animation
27904,surrealism
34405,aliens
34405,black comedy
34405,Firefly
37733,disappointing
37733,overrated
37733,Viggo Mortensen
48394,dark
48394,fairytale
60684,dystopia
60684,stylized
63992,high school
63992,Kristen Stewart
63992,Teen movie
64957,Aging Disorder
64957,Brad Pitt
64957,cinematography
64957,drama
64957,original plot
64957,slow parts
64957,touching
66097,claymation
66097,Dakota Fanning
66097,dark
66097,fairy tale
66097,Neil Gaiman
66934,Captain Hammer
66934,joss whedon
66934,mad scientist
66934,musical
66934,Nathan Fillion
66934,parody
68157,Brad Pitt
68157,ending
68157,satire
68157,violence
68157,World War II
68319,action
68319,bad plot
68319,hugh jackman
68319,superhero
68319,too long
69526,bad plot
69526,robots
69712,Abigail Breslin
69712,ending
69712,Jason Patric
71057,animation style
46970,funny
46970,nascar
46970,will farell
47640,beer
47640,guy movie
6985,breathtaking
44555,breathtaking
3030,akira kurosawa
3030,black comedy
5618,anime
5618,children
5618,fantasy
5971,fantasy
5971,feel-good
82461,bad acting
82461,bad plot
104283,anime
132046,sci-fi
6754,vampire
8865,1940's feel
8865,unique look
36401,fairy tales
104,adam sandler
608,overrated
1103,overrated
8528,seen it before
47640,Just stupid
52973,overrated
55820,overrated
61024,terrible ending
76251,Gore!!!
76251,sort of honest
78209,Lame everything
593,Katso Sanna!
858,Katso Sanna!
1042,Katso Sanna!
1120,Katso Sanna!
1200,Katso Sanna!
1610,Katso Sanna!
3793,Katso Sanna!
4121,Katso Sanna!
260,awesome
260,jedi
260,space adventure
741,anime
924,boring
924,slow
1036,explosions
1199,dystopia
1274,anime
2019,long
2571,sci-fi
2571,virtual reality
2924,martial arts
2997,interesting
3265,explosions
3265,martial arts
3996,martial arts
4993,long
5782,explosions
5782,interesting
5902,boring
5952,boring
5952,long
6350,anime
6539,Johnny Depp
6857,anime
7022,explosions
7022,martial arts
7090,martial arts
7153,boring
7153,long
7361,interesting
7844,martial arts
8795,Long
8874,comedy
8874,zombies
8961,super-hero
26554,apocalypse
26554,interesting
26585,explosions
31878,comedy
31878,martial arts
31878,Stephen Chow
33794,bad camerawork
33794,slow
1721,romance
122886,space
122886,star
32025,Mossad
35836,dumb
47,biblical
47,crime
47,dark
47,disturbing
47,greed
47,horror
47,serial killer
47,violent
50,thriller
232,aging
232,Ang Lee
232,cooking
232,food
232,relationships
293,assassin
293,hit men
293,thriller
318,friendship
318,Morgan Freeman
318,narrated
318,prison
318,prison escape
318,revenge
318,Tim Robbins
1176,imaginative
1176,intellectual
1176,Irene Jacob
1176,lyrical
1210,action
1210,aliens
1210,George Lucas
1210,Harrison Ford
1210,sci-fi
1210,sequel
1210,space
1210,Star Wars
1210,starship pilots
1210,war
1265,Bill Murray
1265,comedy
1265,existentialism
1265,feel-good
1265,funny
1265,love
1265,romantic
1265,self discovery
1732,great dialogue
1732,Jeff Bridges
1732,off-beat comedy
1732,quirky
1732,satirical
1732,Steve Buscemi
2068,coming of age
2068,funny
2424,bookshop
2424,happy ending
2424,Meg Ryan
2424,Romance
2424,romantic comedy
2424,Tom Hanks
3948,awkward
4018,creative
4018,funny
4018,Helen Hunt
4018,hilarious
4018,Mel Gibson
4018,stereotypes
4973,comedy
4973,feel-good
4973,imagination
4973,love
4973,quirky
4973,whimsical
5299,comedy
5299,family
5299,funny
6350,aviation
6350,funny
6350,imagination
6350,Studio Ghibli
6539,comedy
6539,Disney
6539,funny
6539,johnny depp
6539,magic
6539,Orlando Bloom
6539,pirates
6539,sword fight
7161,family
7161,funny
7161,Steve Martin
8464,american idiocy
8464,documentary
26614,thriller
26662,anime
26662,Hayao Miyazaki
26662,Studio Ghibli
27611,military
27611,sci-fi
34321,comedy
34321,cursing
34321,funny
34321,redemption
46578,beauty pageant
46578,family
46578,off-beat comedy
46578,quirky
46578,road trip
46578,satire
46578,steve carell
56367,comedy
56367,indie
56367,pregnancy
56367,teen pregnancy
56367,witty
64957,Aging
64957,Brad Pitt
64957,original plot
64957,philosophical
66934,comedy
66934,mad scientist
66934,parody
68358,sci fi
68358,spock
68358,Star Trek
68358,teleportation
72998,aliens
72998,graphic design
72998,predictable
72998,racism
72998,sci-fi
93040,drama
93040,historical
93040,interesting
95441,cocaine
95441,crude humor
95441,Mark Wahlberg
97938,Ang Lee
97938,India
97938,ocean
106696,Disney
106696,feminist
106696,musical
106696,storyline
109249,coming of age
109249,dark humor
109249,imaginative
109249,quirky
109249,whimsical
109374,Bill Murray
109374,cinematography
109374,eastern europe
109374,europe
109374,historical
109374,on the run
109374,quirky
115617,comedy
115617,Coming of Age
115617,family
115617,friends
115617,funny
115617,happy ending
115617,heartwarming
115617,inspiring
115617,pixar
115617,technology
